__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity
1,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ɁḗɁ²,be a gap,haber un hueco,intr
2,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,Ɂlǿg²,heal,sanar,intr
3,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,Ɂlǿg²,be late,tardarse,intr
4,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ɁmoɁ¹²,become squished,aplastarse,intr
5,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,Ɂngiéng²,wait,espesar,intr
6,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,Ɂǿng²,pinch,pizcar,intr
7,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,Ɂuán²,heal,sanar,intr
8,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ɁuénɁ²,break,quebrarse,intr
9,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,chiú²,pinch,pellizcar,intr
10,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,dsii²+lé²,arrive there,llegar allá,intr
11,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,dsø²+lé²,leave,irse,intr
12,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ha²+lig²,come,venir,intr
13,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ha²+rǿng²,smell,oler,intr
14,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,héin²,uncoil,desenrollarse,intr
15,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hí²,buzz,zumbar,intr
16,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hínɁ²,turn sour,agriarse,intr
17,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hnáiɁ²,transport,acarrearse,intr
18,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,hngǿi²,wash,limpiarse,intr
19,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hǿɁ²,move,moverse,intr
20,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,kǿ²,stop,parar,intr
21,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,kǿn²,collect,recoger,intr
22,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,kuúɁ²,cut,cortarse,intr
23,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,ná²,open,abrirse,intr
24,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ngē²,go beyond,pasarse,intr
25,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ngǿ²,pass,pasar,intr
26,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,niúɁ²,be heard,oírse,intr
27,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,rǿng²,raise,levantar,intr
28,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,siánɁ²,grind,moler,intr
29,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,téiɁ²,shave,rasurar,intr
30,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,tiúg²,fade,descolorarse,intr
31,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,tsǿn²,"graze, chafe",rozar,intr
32,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,u²+lé²,get here,llegar acá,intr
33,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,uǿnɁ²,cut,cortar,intr
34,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ɁiúɁ²,turn on,encender,intr
35,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,Ɂlúg²,heal,sanar,dtr
36,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,Ɂø²+tsúgɁ²,trample,pisotear,tr
37,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,gḗɁ²,burst (action animal),reventar (acción de animal),tr
38,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hḗɁ²,move,moverse,intr
39,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hén²,find,encontrar,tr
40,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hián²,crouch down,agacharse,tr
41,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hlég²,gobble,gluglutear,intr
42,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,húg²,be turned on,estar prendido,intr
43,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,kḗn²,calm down,calmarse,intr
44,Tlatepuzco Chinantec,Chinantecan,,,True,True,False,True,bēn¹²,curl up,rizar,intr
45,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,lúg²,break,liberarse,intr
46,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,rón²,get up,levantarse,intr
47,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,siúgɁ²,fall,caerse,intr
48,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ton²,bleed (vaginal),sangrar (vaginal),intr
49,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,uénɁ²,cut,cortar,intr
50,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,Ɂnai¹²,split,partirse,intr
51,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ɁuøɁ¹²,leave,salir,intr
52,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,Ɂuøi¹²,peel,pelarse,intr
53,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,dsøɁ¹²,burn,quemarse,intr
54,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hleɁ¹²,dissolve,disolverse,intr
55,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,laiɁ¹²,sprout,retoñar,intr
56,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,lan¹²,be sufficient,bastar,intr
57,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,niɁ¹²,burst,reventar,intr
58,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,tagɁ¹²,replace,reponer,intr
59,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,Ɂian¹²,finish,completarse,intr
60,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,ɁuanɁ¹²,leave again,salir de nuevo,intr
61,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,dsánɁ¹²,meet,encontrarse,intr
62,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,dsanɁ¹²,find,hallar,tr
63,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,hogɁ¹²,reach,alcanzar,tr
64,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,huánɁ¹²,be frightened,espantarse,intr
65,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ngē¹²,be able to  spend,poder pasar,intr
66,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,tsēnɁ¹²,get distracted,dispersarse,intr
67,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,tsø²+kuenɁ¹²,drag,arrastrar,tr
68,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,tsø²+kuønɁ¹²,drag,arrastrar,tr
69,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,tug,release,soltar,tr
70,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,dsii²+lei¹,arrive home (there),llegar a casa allá,intr
71,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,dsø²+lei¹,go to home,ir para casa,intr
72,Tlatepuzco Chinantec,Chinantecan,,,False,True,True,True,ha²+lei¹,come again,venir de nuevo,intr
73,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,liág¹,start,empezar,intr
74,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ti²+dso¹,stain,mancharse,intr
75,Tlatepuzco Chinantec,Chinantecan,,,False,True,False,True,ti²+kḗn¹,tangle,enredarse,intr
